Date : 2024-04-09 14:40:07
Directory : c:\xampp\htdocs\trodi
Total : 248 files,  47667 codes, 6359 comments, 7289 blanks, all 61315 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\es\index.html                                               | HTML       |        110 |          4 |         17 |        131 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\faq.html                                                    | HTML       |        471 |          4 |         42 |        517 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\fr\faq.html                                                 | HTML       |        471 |          4 |         42 |        517 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\fr\howto.html                                               | HTML       |        102 |          4 |         18 |        124 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\fr\howto_platform_links.html                                | HTML       |         73 |          4 |         18 |         95 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\fr\howto_shared_links.html                                  | HTML       |         86 |          4 |         18 |        108 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\fr\index.html                                               | HTML       |        110 |          4 |         17 |        131 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\howto.html                                                  | HTML       |        102 |          4 |         18 |        124 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\howto_platform_links.html                                   | HTML       |         73 |          4 |         18 |         95 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\howto_shared_links.html                                     | HTML       |         86 |          4 |         18 |        108 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\hu\faq.html                                                 | HTML       |        471 |          4 |         42 |        517 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\hu\howto.html                                               | HTML       |        102 |          4 |         18 |        124 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\hu\howto_platform_links.html                                | HTML       |         73 |          4 |         18 |         95 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\hu\howto_shared_links.html                                  | HTML       |         86 |          4 |         18 |        108 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\hu\index.html                                               | HTML       |        110 |          4 |         17 |        131 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\images\xampp-logo.svg                                       | SVG        |         49 |          1 |          1 |         51 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\index.html                                                  | HTML       |        110 |          4 |         17 |        131 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\it\faq.html                                                 | HTML       |        471 |          4 |         42 |        517 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\it\howto.html                                               | HTML       |        102 |          4 |         18 |        124 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\it\howto_platform_links.html                                | HTML       |         73 |          4 |         18 |         95 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\it\howto_shared_links.html                                  | HTML       |         86 |          4 |         18 |        108 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\it\index.html                                               | HTML       |        110 |          4 |         17 |        131 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\javascripts\all.js                                          | JavaScript |      3,812 |        624 |      1,088 |      5,524 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\javascripts\modernizr.js                                    | JavaScript |        609 |        510 |        289 |      1,408 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\jp\faq.html                                                 | HTML       |        471 |          4 |         42 |        517 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\jp\howto.html                                               | HTML       |        102 |          4 |         18 |        124 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\jp\howto_platform_links.html                                | HTML       |         73 |          4 |         18 |         95 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\jp\howto_shared_links.html                                  | HTML       |         86 |          4 |         18 |        108 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\jp\index.html                                               | HTML       |        110 |          4 |         17 |        131 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\phpinfo.php                                                 | PHP        |          1 |          0 |          2 |          3 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\pl\faq.html                                                 | HTML       |        471 |          4 |         42 |        517 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\pl\howto.html                                               | HTML       |        102 |          4 |         18 |        124 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\pl\howto_platform_links.html                                | HTML       |         73 |          4 |         18 |         95 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\pl\howto_shared_links.html                                  | HTML       |         86 |          4 |         18 |        108 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\pl\index.html                                               | HTML       |        110 |          4 |         17 |        131 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\pt_br\faq.html                                              | HTML       |        471 |          4 |         42 |        517 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\pt_br\howto.html                                            | HTML       |        102 |          4 |         18 |        124 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\pt_br\howto_platform_links.html                             | HTML       |         73 |          4 |         18 |         95 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\pt_br\howto_shared_links.html                               | HTML       |         86 |          4 |         18 |        108 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\pt_br\index.html                                            | HTML       |        110 |          4 |         17 |        131 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\ro\faq.html                                                 | HTML       |        471 |          4 |         42 |        517 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\ro\howto.html                                               | HTML       |        102 |          4 |         18 |        124 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\ro\howto_platform_links.html                                | HTML       |         73 |          4 |         18 |         95 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\ro\howto_shared_links.html                                  | HTML       |         86 |          4 |         18 |        108 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\ro\index.html                                               | HTML       |        110 |          4 |         17 |        131 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\ru\faq.html                                                 | HTML       |        471 |          4 |         42 |        517 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\ru\howto.html                                               | HTML       |        102 |          4 |         18 |        124 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\ru\howto_platform_links.html                                | HTML       |         73 |          4 |         18 |         95 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\ru\howto_shared_links.html                                  | HTML       |         86 |          4 |         18 |        108 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\ru\index.html                                               | HTML       |        110 |          4 |         17 |        131 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\stylesheets\all-rtl.css                                     | CSS        |      6,691 |      1,898 |        623 |      9,212 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\stylesheets\all.css                                         | CSS        |      6,691 |      1,898 |        623 |      9,212 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\stylesheets\asciidoctor.css                                 | CSS        |        412 |         58 |        254 |        724 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\stylesheets\normalize.css                                   | CSS        |        157 |        141 |         79 |        377 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\tr\faq.html                                                 | HTML       |        471 |          4 |         42 |        517 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\tr\howto.html                                               | HTML       |        102 |          4 |         18 |        124 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\tr\howto_platform_links.html                                | HTML       |         73 |          4 |         18 |         95 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\tr\howto_shared_links.html                                  | HTML       |         86 |          4 |         18 |        108 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\tr\index.html                                               | HTML       |        110 |          4 |         17 |        131 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\ur\faq.html                                                 | HTML       |        471 |          4 |         42 |        517 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\ur\howto.html                                               | HTML       |        102 |          4 |         18 |        124 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\ur\howto_platform_links.html                                | HTML       |         73 |          4 |         18 |         95 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\ur\howto_shared_links.html                                  | HTML       |         86 |          4 |         18 |        108 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\ur\index.html                                               | HTML       |        110 |          4 |         17 |        131 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\zh_cn\faq.html                                              | HTML       |        471 |          4 |         42 |        517 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\zh_cn\howto.html                                            | HTML       |        102 |          4 |         18 |        124 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\zh_cn\howto_platform_links.html                             | HTML       |         73 |          4 |         18 |         95 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\zh_cn\howto_shared_links.html                               | HTML       |         86 |          4 |         18 |        108 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\zh_cn\index.html                                            | HTML       |        110 |          4 |         17 |        131 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\zh_tw\faq.html                                              | HTML       |        471 |          4 |         42 |        517 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\zh_tw\howto.html                                            | HTML       |        102 |          4 |         18 |        124 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\zh_tw\howto_platform_links.html                             | HTML       |         73 |          4 |         18 |         95 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\zh_tw\howto_shared_links.html                               | HTML       |         86 |          4 |         18 |        108 |
| c:\xampp\htdocs\trodi\xampp_docs\dashboard\zh_tw\index.html                                            | HTML       |        110 |          4 |         17 |        131 |
| c:\xampp\htdocs\trodi\xampp_docs\index.php                                                             | PHP        |         11 |          0 |          1 |         12 |
| Total                                                                                                  |            |     47,667 |      6,359 |      7,289 |     61,315 |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
